827.066513		0.044453	0.006145
853.364091		0.084406	0.013123
878.892734		0.120605	0.020931
903.652441		0.153644	0.029568
927.643214		0.184003	0.039035
950.865052		0.212071	0.049331
973.317955		0.238168	0.060461
995.001922		0.262559	0.072429
1015.916955		0.285466	0.085240
1036.063053		0.307078	0.098903
1055.440215		0.327553	0.113427
1074.048443		0.347029	0.128823
1091.887735		0.365624	0.145100
1108.958093		0.383441	0.162271
1125.259516		0.400571	0.180346
1140.792003		0.417095	0.199334
1155.555556		0.433086	0.219241
1169.550173		0.448608	0.240069
1182.775855		0.463724	0.261814
1195.232603		0.478488	0.284463
1206.920415		0.492953	0.307992
1217.839293		0.507169	0.332365
1227.989235		0.521183	0.357530
1237.370242		0.535042	0.383415
1245.982314		0.548790	0.409934
1253.825452		0.562471	0.436979
1260.899654		0.576128	0.464427
1267.204921		0.589804	0.492144
1272.741253		0.603538	0.519986
1277.508651		0.617372	0.547812
1281.507113		0.631344	0.575480
1284.736640		0.645494	0.602863
1287.197232		0.659858	0.629846
1288.888889		0.674474	0.656332
1289.811611		0.689377	0.682241
1289.965398		0.704604	0.707511
1289.350250		0.720190	0.732097
1287.966167		0.736171	0.755966
1285.813149		0.752584	0.779099
1282.891196		0.769467	0.801485
1279.200308		0.786861	0.823122
1274.740484		0.804807	0.844011
1269.511726		0.823351	0.864160
1263.514033		0.842539	0.883578
1256.747405		0.862425	0.902275
1249.211842		0.883065	0.920264
1240.907343		0.904522	0.937557
1231.833910		0.926863	0.954166
1221.991542		0.950165	0.970103
